Application_ID,Company,Role,Date_Applied,Status,Target_Base,Location,Stage,Last_Contact,Notes
APP-1044,Company_44,Role_44,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1045,Company_45,Role_45,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1046,Company_46,Role_46,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1047,Company_47,Role_47,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1048,Company_48,Role_48,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1049,Company_49,Role_49,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1050,Company_50,Role_50,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1051,Company_51,Role_51,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1052,Company_52,Role_52,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1053,Company_53,Role_53,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1054,Company_54,Role_54,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1055,Company_55,Role_55,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1056,Company_56,Role_56,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1057,Company_57,Role_57,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1058,Company_58,Role_58,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1059,Company_59,Role_59,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1060,Company_60,Role_60,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1061,Company_61,Role_61,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1062,Company_62,Role_62,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1063,Company_63,Role_63,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1064,Company_64,Role_64,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1065,Company_65,Role_65,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1066,Company_66,Role_66,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1067,Company_67,Role_67,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1068,Company_68,Role_68,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1069,Company_69,Role_69,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1070,Company_70,Role_70,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1071,Company_71,Role_71,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1072,Company_72,Role_72,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1073,Company_73,Role_73,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1074,Company_74,Role_74,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1075,Company_75,Role_75,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1076,Company_76,Role_76,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1077,Company_77,Role_77,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1078,Company_78,Role_78,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1079,Company_79,Role_79,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1080,Company_80,Role_80,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1081,Company_81,Role_81,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1082,Company_82,Role_82,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1083,Company_83,Role_83,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1084,Company_84,Role_84,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1085,Company_85,Role_85,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1086,Company_86,Role_86,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1087,Company_87,Role_87,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1088,Company_88,Role_88,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1089,Company_89,Role_89,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1090,Company_90,Role_90,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1091,Company_91,Role_91,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1092,Company_92,Role_92,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1093,Company_93,Role_93,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1094,Company_94,Role_94,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1095,Company_95,Role_95,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1096,Company_96,Role_96,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1097,Company_97,Role_97,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1098,Company_98,Role_98,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
APP-1099,Company_99,Role_99,2026-08-01,Active,200k,Remote,Interview,2026-08-15,Good fit
